y_label,y_pred
1.0,0.9999690055847168
1.0,0.9999988079071045
0.0,0.8898708820343018
0.0,2.960368590265716e-07
0.0,3.5626108729758243e-09
0.0,3.932670022965823e-10
0.0,0.0024620885960757732
0.0,1.202068222738717e-08
1.0,0.6384153366088867
0.0,0.9595574736595154
1.0,1.0
0.0,0.999485969543457
1.0,0.9996697902679443
1.0,0.9998918771743774
1.0,2.041107505235118e-09
1.0,0.9998569488525391
1.0,1.0
1.0,0.2523912191390991
1.0,0.8151193857192993
1.0,1.0
1.0,0.9998548030853271
1.0,1.0
1.0,1.0
1.0,0.3070952296257019
1.0,0.9999985694885254
0.0,4.239704143316203e-09
0.0,1.1496996421556105e-07
0.0,5.9120385031974365e-08
0.0,0.9994385838508606
1.0,0.9996640682220459
1.0,9.723726543597877e-05
1.0,2.4973018298624083e-05
0.0,0.021148061379790306
0.0,0.9999998807907104
0.0,0.9772669076919556
1.0,1.0
0.0,0.9079001545906067
0.0,0.05296892300248146
1.0,0.9842309355735779
0.0,1.1491961160459141e-08
1.0,0.9999970197677612
1.0,0.9940430521965027
0.0,0.9559671878814697
1.0,5.684212283085799e-07
0.0,0.9961493015289307
1.0,1.0
1.0,0.9999469518661499
0.0,9.800072753307632e-09
1.0,0.00014004878175910562
1.0,0.9999995231628418
1.0,0.9992659687995911
0.0,0.9990633130073547
1.0,0.13885752856731415
1.0,0.9999998807907104
0.0,4.196630456337891e-12
1.0,0.0004577695217449218
0.0,2.70493796961091e-06
0.0,6.987453584489378e-12
1.0,0.9999585151672363
0.0,0.01105613261461258
0.0,9.561707328686886e-12
1.0,0.9999927282333374
1.0,0.017162160947918892
1.0,0.9999603033065796
1.0,1.0
1.0,0.9994848966598511
0.0,0.0003799776313826442
1.0,0.006759396754205227
0.0,0.0008951532072387636
0.0,0.9998154044151306
0.0,0.013435754925012589
0.0,0.00030200413311831653
1.0,0.46275606751441956
0.0,7.350123496507877e-07
1.0,1.0
1.0,0.0006679224316030741
0.0,1.0476468867773314e-12
1.0,0.9997988343238831
1.0,0.9999871253967285
1.0,1.3427796147880144e-05
1.0,1.0
0.0,2.3760710973874666e-05
0.0,0.04982373118400574
1.0,0.0010414484422653913
1.0,1.0
0.0,0.9048703908920288
1.0,1.0
1.0,0.9999997615814209
0.0,0.8858577609062195
1.0,1.0
1.0,0.9999910593032837
0.0,8.694949116261341e-08
